,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
46,0.5247934,0.49173555,0.5371901,0.6528926,0.6942149,0.6983471,0.6942149,0.71487606
214,0.15289256,0.17355372,0.26859504,0.34710744,0.39256197,0.42975205,0.45454547,0.48347107
308,0.48347107,0.5247934,0.54545456,0.56198347,0.5661157,0.5785124,0.58677685,0.607438
127,0.18595041,0.16528925,0.1694215,0.28099173,0.42561984,0.4876033,0.5123967,0.57438016
344,0.3264463,0.32231405,0.3140496,0.30578512,0.25619835,0.18181819,0.42561984,0.5247934
191,0.4214876,0.5123967,0.6198347,0.6570248,0.59090906,0.5371901,0.5041322,0.5165289
154,0.58677685,0.70247936,0.73140496,0.73140496,0.74380165,0.77272725,0.7933884,0.8140496
187,0.38842976,0.59090906,0.7644628,0.7933884,0.8016529,0.8429752,0.8595041,0.8636364
354,0.23966943,0.2644628,0.446281,0.7355372,0.8595041,0.8429752,0.8347107,0.8305785
140,0.60330576,0.58677685,0.5413223,0.60330576,0.60330576,0.607438,0.6487603,0.6404959
388,0.30578512,0.3140496,0.21900827,0.2603306,0.30991736,0.35950413,0.38016528,0.45041323
212,0.20661157,0.2768595,0.3553719,0.38429752,0.42561984,0.45041323,0.46694216,0.47933885
78,0.2231405,0.23966943,0.23140496,0.1983471,0.17355372,0.17355372,0.17355372,0.2603306
67,0.21900827,0.23553719,0.2520661,0.3264463,0.39256197,0.553719,0.71487606,0.71487606
271,0.59504133,0.6404959,0.61570245,0.6446281,0.6859504,0.7231405,0.73140496,0.7066116
359,0.21487603,0.29752067,0.38016528,0.5206612,0.553719,0.55785125,0.59504133,0.6363636
22,0.6322314,0.6570248,0.677686,0.70247936,0.72727275,0.74793386,0.7644628,0.7644628
159,0.54545456,0.57438016,0.58677685,0.59090906,0.59504133,0.6322314,0.6404959,0.6528926
316,0.77272725,0.8057851,0.79752064,0.75206614,0.76859504,0.78512394,0.78512394,0.7768595
201,0.23553719,0.35123968,0.4338843,0.46694216,0.46694216,0.5,0.53305787,0.5371901
310,0.38429752,0.58264464,0.7107438,0.78099173,0.8347107,0.8471074,0.8471074,0.8553719
235,0.21487603,0.2644628,0.3429752,0.41322315,0.49586776,0.5082645,0.5123967,0.5247934
148,0.5206612,0.5495868,0.58677685,0.59090906,0.607438,0.61157024,0.6487603,0.661157
239,0.16115703,0.20247933,0.26859504,0.33471075,0.38429752,0.39256197,0.3966942,0.41322315
398,0.21487603,0.21900827,0.21900827,0.2231405,0.2107438,0.20247933,0.2768595,0.40082645
119,0.5123967,0.55785125,0.6198347,0.6528926,0.6652893,0.6818182,0.6942149,0.73966944
229,0.17355372,0.1322314,0.11157025,0.2892562,0.5,0.57024795,0.6198347,0.6859504
372,0.12396694,0.16528925,0.27272728,0.41735536,0.5289256,0.6322314,0.6818182,0.73966944
347,0.3305785,0.35123968,0.3677686,0.37603307,0.42975205,0.46694216,0.5495868,0.61157024
40,0.45454547,0.42975205,0.5371901,0.61157024,0.6528926,0.70247936,0.72727275,0.7355372
295,0.32231405,0.41322315,0.446281,0.49173555,0.53305787,0.55785125,0.58677685,0.61157024
124,0.5,0.5371901,0.5289256,0.5247934,0.553719,0.607438,0.6404959,0.6528926
2,0.3181818,0.40082645,0.49173555,0.5289256,0.58677685,0.6570248,0.6818182,0.6859504
51,0.6859504,0.6983471,0.70247936,0.7066116,0.7066116,0.71487606,0.72727275,0.74380165
196,0.28099173,0.35950413,0.40495867,0.446281,0.5495868,0.5785124,0.607438,0.6528926
278,0.76859504,0.7355372,0.7644628,0.7933884,0.8057851,0.7892562,0.7892562,0.74793386
216,0.18181819,0.338843,0.3553719,0.40495867,0.43801653,0.45867768,0.47107437,0.47933885
29,0.5413223,0.553719,0.58264464,0.6198347,0.6322314,0.6694215,0.70247936,0.72727275
60,0.20661157,0.28099173,0.3677686,0.39256197,0.6818182,0.71487606,0.7231405,0.73966944
